id,api_key,user_id,org_api_key,username,page_title,site_uuid,verb,action,url,captured_at,created_at,updated_at
1,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,javascript - What is CDATA in HTML? - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""16H32M31S""}",http://stackoverflow.com/questions/7092236/what-is-cdata-in-html,10/11/2014 13:03:52,10/12/2014 01:10:41,10/12/2014 01:10:41
2,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""31S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:17:54,10/12/2014 01:10:41,10/12/2014 01:10:41
3,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""1M28S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:19:27,10/12/2014 01:10:41,10/12/2014 01:10:41
4,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""36S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:20:39,10/12/2014 01:10:41,10/12/2014 01:10:41
5,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""35S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:21:46,10/12/2014 01:10:41,10/12/2014 01:10:41
6,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""1S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:21:47,10/12/2014 01:10:41,10/12/2014 01:10:41
7,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""2S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:24:34,10/12/2014 01:10:41,10/12/2014 01:10:41
8,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""2S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:24:36,10/12/2014 01:10:41,10/12/2014 01:10:41
9,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""10S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:24:58,10/12/2014 01:10:41,10/12/2014 01:10:41
10,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""1S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:25:03,10/12/2014 01:10:41,10/12/2014 01:10:41
11,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""2S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:30:48,10/12/2014 01:10:41,10/12/2014 01:10:41
12,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""22S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:34:10,10/12/2014 01:10:41,10/12/2014 01:10:41
13,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,logging - Properly using Log4r in Ruby Application - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""33S""}",http://stackoverflow.com/questions/2472865/properly-using-log4r-in-ruby-application,10/11/2014 16:34:47,10/12/2014 01:10:41,10/12/2014 01:10:41
14,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby on rails - Contextual Logging with Log4r - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""1M26S""}",http://stackoverflow.com/questions/6713682/contextual-logging-with-log4r,10/11/2014 16:39:15,10/12/2014 01:10:41,10/12/2014 01:10:41
15,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby on rails - Contextual Logging with Log4r - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""50S""}",http://stackoverflow.com/questions/6713682/contextual-logging-with-log4r,10/11/2014 16:40:09,10/12/2014 01:10:41,10/12/2014 01:10:41
16,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""29S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:55:00,10/12/2014 01:10:41,10/12/2014 01:10:41
17,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - How to get the name of the calling method? - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""3M29S""}",http://stackoverflow.com/questions/5100299/how-to-get-the-name-of-the-calling-method,10/11/2014 16:58:42,10/12/2014 01:10:41,10/12/2014 01:10:41
18,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""1M0S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:59:43,10/12/2014 01:10:41,10/12/2014 01:10:41
19,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""0S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:59:45,10/12/2014 01:10:41,10/12/2014 01:10:41
20,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Log4r - include class name in log output - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""1S""}",http://stackoverflow.com/questions/5338252/log4r-include-class-name-in-log-output,10/11/2014 16:59:56,10/12/2014 01:10:41,10/12/2014 01:10:41
21,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - rails 4 log4r server.rb:78:in `start': undefined method `formatter' - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""27S""}",http://stackoverflow.com/questions/19579536/rails-4-log4r-server-rb78in-start-undefined-method-formatter,10/11/2014 17:00:32,10/12/2014 01:10:41,10/12/2014 01:10:41
22,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,php - Where does the form submit to if there is no action specified? - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""17S""}",http://stackoverflow.com/questions/5534300/where-does-the-form-submit-to-if-there-is-no-action-specified,10/11/2014 17:50:08,10/12/2014 01:10:41,10/12/2014 01:10:41
23,709c5778-415c-4959-a4c7-3ab847a3ffb1,1,,,ruby - Sinatra clears session on post - Stack Overflow,4f5978b7-2bf7-f778-6298-86a575375ba6,viewed,"{""time"":""2M3S""}",http://stackoverflow.com/questions/18844863/sinatra-clears-session-on-post,10/11/2014 17:56:31,10/12/2014 01:10:41,10/12/2014 01:10:41
